p max 20 160
n 1 s
n 20 t
a 1 14 4730
a 1 17 9983
a 1 3 4652
a 1 19 9764
a 1 11 4196
a 1 18 5302
a 1 8 1241
a 1 7 2418
a 1 20 7952
a 1 16 1083
a 1 12 1866
a 1 10 6942
a 1 13 476
a 1 6 4323
a 1 9 1605
a 1 15 6969
a 2 17 3521
a 2 12 9305
a 2 8 7515
a 2 19 5208
a 2 3 3296
a 2 14 1836
a 2 18 8168
a 2 6 3356
a 2 20 4059
a 3 11 50
a 3 17 4154
a 3 15 8608
a 3 20 3364
a 3 7 8700
a 3 6 262
a 3 14 1067
a 3 19 3839
a 3 5 6792
a 3 4 432
a 3 12 6914
a 4 18 3385
a 4 10 1950
a 4 2 2454
a 4 7 7938
a 4 17 5213
a 4 19 4258
a 4 11 1123
a 5 12 8681
a 5 17 3638
a 5 20 4892
a 5 18 1617
a 5 19 1478
a 5 16 3055
a 5 6 6162
a 5 9 7838
a 5 7 2099
a 5 2 1377
a 6 7 4634
a 6 19 3180
a 6 9 5670
a 6 13 4503
a 6 20 2056
a 6 10 4389
a 6 12 6764
a 6 18 7249
a 7 18 5310
a 7 11 1322
a 7 16 9724
a 7 8 5692
a 7 19 5094
a 7 20 3656
a 7 2 4944
a 7 13 452
a 8 6 7306
a 8 18 3225
a 8 15 2434
a 8 19 3516
a 8 13 9914
a 8 14 6375
a 8 9 4483
a 8 10 3196
a 8 11 2561
a 8 4 4204
a 8 20 6285
a 9 2 1809
a 9 20 5628
a 9 14 4599
a 9 16 5822
a 9 11 3661
a 9 4 8422
a 9 13 9027
a 9 7 7198
a 9 18 6577
a 9 12 8641
a 10 20 3627
a 10 5 6566
a 10 9 8548
a 10 16 7066
a 10 17 5469
a 11 10 731
a 11 6 8079
a 11 16 8356
a 11 12 6042
a 11 18 5209
a 11 5 6222
a 11 20 4861
a 11 2 1900
a 12 18 2155
a 12 13 53
a 12 4 2807
a 12 20 9198
a 12 10 2626
a 12 8 5068
a 12 17 4325
a 12 7 4104
a 12 19 4186
a 13 18 6703
a 13 3 9150
a 13 11 5441
a 13 4 6822
a 13 10 8419
a 13 20 796
a 13 19 2575
a 14 15 7928
a 14 5 9956
a 14 20 3930
a 14 17 7478
a 14 16 22
a 14 11 1744
a 14 6 1541
a 14 13 9559
a 14 7 1559
a 15 10 6962
a 15 7 3248
a 15 20 1908
a 15 13 9064
a 15 12 5479
a 15 4 1930
a 15 11 5102
a 16 2 7822
a 16 6 8089
a 16 20 8952
a 16 12 4896
a 16 19 572
a 16 18 865
a 16 3 3530
a 16 17 4319
a 16 4 6361
a 17 7 5803
a 17 20 8331
a 17 15 962
a 17 8 1701
a 17 9 5377
a 17 11 2231
a 17 13 9317
a 18 3 5601
a 18 17 4545
a 19 15 2272
a 19 9 3628
a 19 10 7025
a 19 18 2330
a 19 14 4649
a 19 11 2956
a 19 20 8373
